title,authors,conference_name,conference_year,link
Pixel screening based intermediate correction for blind deblurring.,"Meina Zhang, Yingying Fang, Guoxi Ni, Tieyong Zeng",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00580
When Does Contrastive Visual Representation Learning Work?,"Elijah Cole, Xuan Yang, Kimberly Wilber, Oisin Mac Aodha, Serge J. Belongie",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.01434
Large-Scale Pre-training for Person Re-identification with Noisy Labels.,"Dengpan Fu, Dongdong Chen, Hao Yang, Jianmin Bao, Lu Yuan, Lei Zhang, Houqiang Li, Fang Wen, Dong Chen",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00251
Clipped Hyperbolic Classifiers Are Super-Hyperbolic Classifiers.,"Yunhui Guo, Xudong Wang, Yubei Chen, Stella X. Yu",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00010
CO-SNE: Dimensionality Reduction and Visualization for Hyperbolic Data.,"Yunhui Guo, Haoran Guo, Stella X. Yu",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00011
Efficient Deep Embedded Subspace Clustering.,"Jinyu Cai, Jicong Fan, Wenzhong Guo, Shiping Wang, Yunhe Zhang, Zhao Zhang",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00012
Noise Is Also Useful: Negative Correlation-Steered Latent Contrastive Learning.,"Jiexi Yan, Lei Luo, Chenghao Xu, Cheng Deng, Heng Huang",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00013
Active Learning for Open-set Annotation.,"Kun-Peng Ning, Xun Zhao, Yu Li, Sheng-Jun Huang",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00014
Understanding and Increasing Efficiency of Frank-Wolfe Adversarial Training.,"Theodoros Tsiligkaridis, Jay Roberts",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00015
Robust Optimization as Data Augmentation for Large-scale Graphs.,"Kezhi Kong, Guohao Li, Mucong Ding, Zuxuan Wu, Chen Zhu, Bernard Ghanem, Gavin Taylor, Tom Goldstein",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00016
A Re-Balancing Strategy for Class-Imbalanced Classification Based on Instance Difficulty.,"Sihao Yu, Jiafeng Guo, Ruqing Zhang, Yixing Fan, Zizhen Wang, Xueqi Cheng",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00017
The Devil is in the Margin: Margin-based Label Smoothing for Network Calibration.,"Bingyuan Liu, Ismail Ben Ayed, Adrian Galdran, Jose Dolz",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00018
Towards Better Plasticity-Stability Trade-off in Incremental Learning: A Simple Linear Connector.,"Guoliang Lin, Hanlu Chu, Hanjiang Lai",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00019
GCR: Gradient Coreset based Replay Buffer Selection for Continual Learning.,"Rishabh Tiwari, KrishnaTeja Killamsetty, Rishabh K. Iyer, Pradeep Shenoy",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00020
Learning Bayesian Sparse Networks with Full Experience Replay for Continual Learning.,"Qingsen Yan, Dong Gong, Yuhang Liu, Anton van den Hengel, Javen Qinfeng Shi",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00021
A variational Bayesian method for similarity learning in non-rigid image registration.,"Daniel Grzech, Mohammad Farid Azampour, Ben Glocker, Julia A. Schnabel, Nassir Navab, Bernhard Kainz, Loïc Le Folgoc",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00022
Learning to Learn by Jointly Optimizing Neural Architecture and Weights.,"Yadong Ding, Yu Wu, Chengyue Huang, Siliang Tang, Yi Yang, Longhui Wei, Yueting Zhuang, Qi Tian",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00023
Learning to Prompt for Continual Learning.,"Zifeng Wang, Zizhao Zhang, Chen-Yu Lee, Han Zhang, Ruoxi Sun, Xiaoqi Ren, Guolong Su, Vincent Perot, Jennifer G. Dy, Tomas Pfister",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00024
Meta-attention for ViT-backed Continual Learning.,"Mengqi Xue, Haofei Zhang, Jie Song, Mingli Song",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00025
Multi-Frame Self-Supervised Depth with Transformers.,"Vitor Guizilini, Rares Ambrus, Dian Chen, Sergey Zakharov, Adrien Gaidon",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00026
Continual Learning with Lifelong Vision Transformer.,"Zhen Wang, Liu Liu, Yiqun Duan, Yajing Kong, Dacheng Tao",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00027
Rethinking Bayesian Deep Learning Methods for Semi-Supervised Volumetric Medical Image Segmentation.,"Jianfeng Wang, Thomas Lukasiewicz",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00028
Revisiting Random Channel Pruning for Neural Network Compression.,"Yawei Li, Kamil Adamczewski, Wen Li, Shuhang Gu, Radu Timofte, Luc Van Gool",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00029
Deep Safe Multi-view Clustering: Reducing the Risk of Clustering Performance Degradation Caused by View Increase.,"Huayi Tang, Yong Liu",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00030
Hypergraph-Induced Semantic Tuplet Loss for Deep Metric Learning.,"Jongin Lim, Sangdoo Yun, Seulki Park, Jin Young Choi",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00031
Towards Robust and Reproducible Active Learning using Neural Networks.,"Prateek Munjal, Nasir Hayat, Munawar Hayat, Jamshid Sourati, Shadab Khan",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00032
Non-Iterative Recovery from Nonlinear Observations using Generative Models.,"Jiulong Liu, Zhaoqiang Liu",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00033
Gaussian Process Modeling of Approximate Inference Errors for Variational Autoencoders.,Minyoung Kim,CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00034
Robust Combination of Distributed Gradients Under Adversarial Perturbations.,Kwang In Kim,CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00035
Do learned representations respect causal relationships?,"Lan Wang, Vishnu Naresh Boddeti",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00036
How Much More Data Do I Need? Estimating Requirements for Downstream Tasks.,"Rafid Mahmood, James Lucas, David Acuna, Daiqing Li, Jonah Philion, José M. Álvarez, Zhiding Yu, Sanja Fidler, Marc T. Law",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00037
Pushing the Envelope of Gradient Boosting Forests via Globally-Optimized Oblique Trees.,"Magzhan Gabidolla, Miguel Á. Carreira-Perpiñán",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00038
Contrastive Test-Time Adaptation.,"Dian Chen, Dequan Wang, Trevor Darrell, Sayna Ebrahimi",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00039
"AutoSDF: Shape Priors for 3D Completion, Reconstruction and Generation.","Paritosh Mittal, Yen-Chi Cheng, Maneesh Singh, Shubham Tulsiani",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00040
Selective-Supervised Contrastive Learning with Noisy Labels.,"Shikun Li, Xiaobo Xia, Shiming Ge, Tongliang Liu",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00041
RecDis-SNN: Rectifying Membrane Potential Distribution for Directly Training Spiking Neural Networks.,"Yufei Guo, Xinyi Tong, Yuanpei Chen, Liwen Zhang, Xiaode Liu, Zhe Ma, Xuhui Huang",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00042
Hierarchical Nearest Neighbor Graph Embedding for Efficient Dimensionality Reduction.,"M. Saquib Sarfraz, Marios Koulakis, Constantin Seibold, Rainer Stiefelhagen",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00043
Scalable Penalized Regression for Noise Detection in Learning with Noisy Labels.,"Yikai Wang, Xinwei Sun, Yanwei Fu",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00044
Nested Hyperbolic Spaces for Dimensionality Reduction and Hyperbolic NN Design.,"Xiran Fan, Chun-Hao Yang, Baba C. Vemuri",CVPR 2022,2022,https://doi.org/10.1109/CVPR52688.2022.00045
