title,authors,conference_name,conference_year,link
Affordances from Human Videos as a Versatile Representation for Robotics.,"Shikhar Bahl, Russell Mendonca, Lili Chen, Unnat Jain, Deepak Pathak","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.01324
RefCLIP: A Universal Teacher for Weakly Supervised Referring Expression Comprehension.,"Lei Jin, Gen Luo, Yiyi Zhou, Xiaoshuai Sun, Guannan Jiang, Annan Shu, Rongrong Ji","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00263
Megahertz Light Steering Without Moving Parts.,"Adithya Pediredla, Srinivasa G. Narasimhan, Maysamreza Chamanzar, Ioannis Gkioulekas","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00009
Robust Dynamic Radiance Fields.,"Yu-Lun Liu, Chen Gao, Andreas Meuleman, Hung-Yu Tseng, Ayush Saraf, Changil Kim, Yung-Yu Chuang, Johannes Kopf, Jia-Bin Huang","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00010
DBARF: Deep Bundle-Adjusting Generalizable Neural Radiance Fields.,"Yu Chen, Gim Hee Lee","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00011
VDN-NeRF: Resolving Shape-Radiance Ambiguity via View-Dependence Normalization.,"Bingfan Zhu, Yanchao Yang, Xulong Wang, Youyi Zheng, Leonidas J. Guibas","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00012
AligNeRF: High-Fidelity Neural Radiance Fields via Alignment-Aware Training.,"Yifan Jiang, Peter Hedman, Ben Mildenhall, Dejia Xu, Jonathan T. Barron, Zhangyang Wang, Tianfan Xue","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00013
SeaThru-NeRF: Neural Radiance Fields in Scattering Media.,"Deborah Levy, Amit Peleg, Naama Pearl, Dan Rosenbaum, Derya Akkaynak, Simon Korman, Tali Treibitz","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00014
Exact-NeRF: An Exploration of a Precise Volumetric Parameterization for Neural Radiance Fields.,"Brian K. S. Isaac-Medina, Chris G. Willcocks, Toby P. Breckon","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00015
Neural Residual Radiance Fields for Streamably Free-Viewpoint Videos.,"Liao Wang, Qiang Hu, Qihan He, Ziyu Wang, Jingyi Yu, Tinne Tuytelaars, Lan Xu, Minye Wu","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00016
Plen-VDB: Memory Efficient VDB-Based Radiance Fields for Fast Training and Rendering.,"Han Yan, Celong Liu, Chao Ma, Xing Mei","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00017
Local Implicit Ray Function for Generalizable Radiance Field Representation.,"Xin Huang, Qi Zhang, Ying Feng, Xiaoyu Li, Xuan Wang, Qing Wang","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00018
SurfelNeRF: Neural Surfel Radiance Fields for Online Photorealistic Reconstruction of Indoor Scenes.,"Yiming Gao, Yan-Pei Cao, Ying Shan","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00019
Frequency-Modulated Point Cloud Rendering with Easy Editing.,"Yi Zhang, Xiaoyang Huang, Bingbing Ni, Wenjun Zhang, Teng Li","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00020
HexPlane: A Fast Representation for Dynamic Scenes.,"Ang Cao, Justin Johnson","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00021
Differentiable Shadow Mapping for Efficient Inverse Graphics.,"Markus Worchel, Marc Alexa","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00022
Hybrid Neural Rendering for Large-Scale Scenes with Motion Blur.,"Peng Dai, Yinda Zhang, Xin Yu, Xiaoyang Lyu, Xiaojuan Qi","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00023
TensoIR: Tensorial Inverse Rendering.,"Haian Jin, Isabella Liu, Peijia Xu, Xiaoshuai Zhang, Songfang Han, Sai Bi, Xiaowei Zhou, Zexiang Xu, Hao Su","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00024
ShadowNeuS: Neural SDF Reconstruction by Shadow Ray Supervision.,"Jingwang Ling, Zhibo Wang, Feng Xu","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00025
Realistic Saliency Guided Image Enhancement.,"S. Mahdi H. Miangoleh, Zoya Bylinskii, Eric Kee, Eli Shechtman, Yagiz Aksoy","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00026
LightPainter: Interactive Portrait Relighting with Freehand Scribble.,"Yiqun Mei, He Zhang, Xuaner Zhang, Jianming Zhang, Zhixin Shu, Yilin Wang, Zijun Wei, Shi Yan, Hyunjoon Jung, Vishal M. Patel","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00027
A Unified Spatial-Angular Structured Light for Single-View Acquisition of Shape and Reflectance.,"Xianmin Xu, Yuxin Lin, Haoyang Zhou, Chong Zeng, Yaxin Yu, Kun Zhou, Hongzhi Wu","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00028
Learning Visibility Field for Detailed 3D Human Reconstruction and Relighting.,"Ruichen Zheng, Peng Li, Haoqian Wang, Tao Yu","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00029
Unsupervised Contour Tracking of Live Cells by Mechanical and Cycle Consistency Losses.,"Junbong Jang, Kwonmoo Lee, Tae-Kyun Kim","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00030
NeUDF: Leaning Neural Unsigned Distance Fields with Volume Rendering.,"Yu-Tao Liu, Li Wang, Jie Yang, Weikai Chen, Xiaoxu Meng, Bo Yang, Lin Gao","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00031
NeAT: Learning Neural Implicit Surfaces with Arbitrary Topologies from Multi-View Images.,"Xiaoxu Meng, Weikai Chen, Bo Yang","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00032
ALTO: Alternating Latent Topologies for Implicit 3D Reconstruction.,"Zhen Wang, Shijie Zhou, Jeong Joon Park, Despoina Paschalidou, Suya You, Gordon Wetzstein, Leonidas J. Guibas, Achuta Kadambi","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00033
Controllable Mesh Generation Through Sparse Latent Point Diffusion Models.,"Zhaoyang Lyu, Jinyi Wang, Yuwei An, Ya Zhang, Dahua Lin, Bo Dai","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00034
"Photo Pre-Training, But for Sketch.","Ke Li, Kaiyue Pang, Yi-Zhe Song","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00270
Power Bundle Adjustment for Large-Scale 3D Reconstruction.,"Simon Weber, Nikolaus Demmel, Tin Chon Chan, Daniel Cremers","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00035
Neural Pixel Composition for 3D-4D View Synthesis from Multi-Views.,"Aayush Bansal, Michael Zollhöfer","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00036
Magic3D: High-Resolution Text-to-3D Content Creation.,"Chen-Hsuan Lin, Jun Gao, Luming Tang, Towaki Takikawa, Xiaohui Zeng, Xun Huang, Karsten Kreis, Sanja Fidler, Ming-Yu Liu, Tsung-Yi Lin","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00037
3D Video Loops from Asynchronous Input.,"Li Ma, Xiaoyu Li, Jing Liao, Pedro V. Sander","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00038
High-fidelity 3D GAN Inversion by Pseudo-multi-view Optimization.,"Jiaxin Xie, Hao Ouyang, Jingtan Piao, Chenyang Lei, Qifeng Chen","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00039
Lift3D: Synthesize 3D Training Data by Lifting 2D GAN to 3D Generative Radiance Field.,"Leheng Li, Qing Lian, Luozhou Wang, Ningning Ma, Yingcong Chen","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00040
3D GAN Inversion with Facial Symmetry Prior.,"Fei Yin, Yong Zhang, Xuan Wang, Tengfei Wang, Xiaoyu Li, Yuan Gong, Yanbo Fan, Xiaodong Cun, Ying Shan, Cengiz Öztireli, Yujiu Yang","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00041
StyleIPSB: Identity-Preserving Semantic Basis of StyleGAN for High Fidelity Face Swapping.,"Diqiong Jiang, Dan Song, Ruofeng Tong, Min Tang","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00042
FFHQ-UV: Normalized Facial UV-Texture Dataset for 3D Face Reconstruction.,"Haoran Bai, Di Kang, Haoxian Zhang, Jinshan Pan, Linchao Bao","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00043
Robust Model-based Face Reconstruction through Weakly-Supervised Outlier Segmentation.,"Chunlu Li, Andreas Morel-Forster, Thomas Vetter, Bernhard Egger, Adam Kortylewski","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00044
Learning Neural Proto-Face Field for Disentangled 3D Face Modeling in the Wild.,"Zhenyu Zhang, Renwang Chen, Weijian Cao, Ying Tai, Chengjie Wang","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00045
A Hierarchical Representation Network for Accurate and Detailed Face Reconstruction from In-The-Wild Images.,"Biwen Lei, Jianqiang Ren, Mengyang Feng, Miaomiao Cui, Xuansong Xie","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00046
BlendFields: Few-Shot Example-Driven Facial Modeling.,"Kacper Kania, Stephan J. Garbin, Andrea Tagliasacchi, Virginia Estellers, Kwang Moo Yi, Julien Valentin, Tomasz Trzcinski, Marek Kowalski","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00047
Implicit Neural Head Synthesis via Controllable Local Deformation Fields.,"Chuhan Chen, Matthew O'Toole, Gaurav Bharaj, Pablo Garrido","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00048
DPE: Disentanglement of Pose and Expression for General Video Portrait Editing.,"Youxin Pang, Yong Zhang, Weize Quan, Yanbo Fan, Xiaodong Cun, Ying Shan, Dong-Ming Yan","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00049
GANHead: Towards Generative Animatable Neural Head Avatars.,"Sijing Wu, Yichao Yan, Yunhao Li, Yuhao Cheng, Wenhan Zhu, Ke Gao, Xiaobo Li, Guangtao Zhai","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00050
EDGE: Editable Dance Generation From Music.,"Jonathan Tseng, Rodrigo Castellon, C. Karen Liu","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00051
Unsupervised Volumetric Animation.,"Aliaksandr Siarohin, Willi Menapace, Ivan Skorokhodov, Kyle Olszewski, Jian Ren, Hsin-Ying Lee, Menglei Chai, Sergey Tulyakov","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00452
Blowing in the Wind: CycleNet for Human Cinemagraphs from Still Images.,"Hugo Bertiche, Niloy J. Mitra, Kuldeep Kulkarni, Chun-Hao Paul Huang, Tuanfeng Y. Wang, Meysam Madadi, Sergio Escalera, Duygu Ceylan","CVPR 2023:
Vancouver, BC, Canada",2023,https://doi.org/10.1109/CVPR52729.2023.00052
