title,authors,conference_name,conference_year,link
Data Structures for Density Estimation.,"Anders Aamand, Alexandr Andoni, Justin Y. Chen, Piotr Indyk, Shyam Narayanan, Sandeep Silwal","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/aamand23a.html
ClusterFuG: Clustering Fully connected Graphs by Multicut.,"Ahmed Abbas, Paul Swoboda","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/abbas23a.html
"Generalization on the Unseen, Logic Reasoning and Degree Curriculum.","Emmanuel Abbe, Samy Bengio, Aryo Lotfi, Kevin Rizk","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/abbe23a.html
Toward Large Kernel Models.,"Amirhesam Abedsoltan, Mikhail Belkin, Parthe Pandit","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/abedsoltan23a.html
Expertise Trees Resolve Knowledge Limitations in Collective Decision-Making.,"Axel Abels, Tom Lenaerts, Vito Trianni, Ann Nowé","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/abels23a.html
Comparison of meta-learners for estimating multi-valued treatment heterogeneous effects.,"Naoufal Acharki, Ramiro Lugo, Antoine Bertoncello, Josselin Garnier","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/acharki23a.html
BNN-DP: Robustness Certification of Bayesian Neural Networks via Dynamic Programming.,"Steven Adams, Andrea Patane, Morteza Lahijanian, Luca Laurenti","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/adams23a.html
SAM operates far from home: eigenvalue regularization as a dynamical phenomenon.,"Atish Agarwala, Yann N. Dauphin","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/agarwala23a.html
Second-order regression models exhibit progressive sharpening to the edge of stability.,"Atish Agarwala, Fabian Pedregosa, Jeffrey Pennington","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/agarwala23b.html
Global optimality of Elman-type RNNs in the mean-field regime.,"Andrea Agazzi, Jianfeng Lu, Sayan Mukherjee","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/agazzi23a.html
SemSup-XC: Semantic Supervision for Zero and Few-shot Extreme Classification.,"Pranjal Aggarwal, Ameet Deshpande, Karthik R. Narasimhan","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/aggarwal23a.html
Adaptive IMLE for Few-shot Pretraining-free Generative Modelling.,"Mehran Aghabozorgi, Shichong Peng, Ke Li","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/aghabozorgi23a.html
Scaling Laws for Generative Mixed-Modal Language Models.,"Armen Aghajanyan, Lili Yu, Alexis Conneau, Wei-Ning Hsu, Karen Hambardzumyan, Susan Zhang, Stephen Roller, Naman Goyal, Omer Levy, Luke Zettlemoyer","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/aghajanyan23a.html
Hypothesis Transfer Learning with Surrogate Classification Losses: Generalization Bounds through Algorithmic Stability.,"Anass Aghbalou, Guillaume Staerman","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/aghbalou23a.html
Constrained Causal Bayesian Optimization.,"Virginia Aglietti, Alan Malek, Ira Ktena, Silvia Chiappa","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/aglietti23a.html
Explaining the effects of non-convergent MCMC in the training of Energy-Based Models.,"Elisabeth Agoritsas, Giovanni Catania, Aurélien Decelle, Beatriz Seoane","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/agoritsas23a.html
Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies.,"Gati V. Aher, Rosa I. Arriaga, Adam Tauman Kalai","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/aher23a.html
Interventional Causal Representation Learning.,"Kartik Ahuja, Divyat Mahajan, Yixin Wang, Yoshua Bengio","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/ahuja23a.html
Sequential Underspecified Instrument Selection for Cause-Effect Estimation.,"Elisabeth Ailer, Jason S. Hartford, Niki Kilbertus","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/ailer23a.html
Atari-5: Distilling the Arcade Learning Environment down to Five Games.,"Matthew Aitchison, Penny Sweetser, Marcus Hutter","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/aitchison23a.html
Towards credible visual model interpretation with path attribution.,"Naveed Akhtar, Mohammad A. A. K. Jalwana","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/akhtar23a.html
Convergence of First-Order Methods for Constrained Nonconvex Optimization with Dependent Data.,"Ahmet Alacaoglu, Hanbaek Lyu","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/alacaoglu23a.html
Recasting Self-Attention with Holographic Reduced Representations.,"Mohammad Mahmudul Alam, Edward Raff, Stella Biderman, Tim Oates, James Holt","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/alam23a.html
The Saddle-Point Method in Differential Privacy.,"Wael Alghamdi, Juan Felipe Gómez, Shahab Asoodeh, Flávio P. Calmon, Oliver Kosut, Lalitha Sankar","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/alghamdi23a.html
Nonlinear Advantage: Trained Networks Might Not Be As Complex as You Think.,"Christian H. X. Ali Mehmeti-Göpel, Jan Disselhoff","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/ali-mehmeti-gopel23a.html
A Simple Zero-shot Prompt Weighting Technique to Improve Prompt Ensembling in Text-Image Models.,"James Urquhart Allingham, Jie Ren, Michael W. Dusenberry, Xiuye Gu, Yin Cui, Dustin Tran, Jeremiah Zhe Liu, Balaji Lakshminarayanan","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/allingham23a.html
On the Privacy-Robustness-Utility Trilemma in Distributed Learning.,"Youssef Allouah, Rachid Guerraoui, Nirupam Gupta, Rafael Pinot, John Stephan","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/allouah23a.html
Differentially Private Distributed Bayesian Linear Regression with MCMC.,"Baris Alparslan, Sinan Yildirim, S. Ilker Birbil","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/alparslan23a.html
Robust and Scalable Bayesian Online Changepoint Detection.,"Matías Altamirano, François-Xavier Briol, Jeremias Knoblauch","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/altamirano23a.html
Neural Wasserstein Gradient Flows for Discrepancies with Riesz Kernels.,"Fabian Altekrüger, Johannes Hertrich, Gabriele Steidl","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/altekruger23a.html
Distributed Contextual Linear Bandits with Minimax Optimal Communication Cost.,"Sanae Amani, Tor Lattimore, András György, Lin Yang","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/amani23a.html
A Kernelized Stein Discrepancy for Biological Sequences.,"Alan Nawzad Amin, Eli N. Weinstein, Debora Susan Marks","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/amin23a.html
The Optimal Approximation Factors in Misspecified Off-Policy Value Function Estimation.,"Philip Amortila, Nan Jiang, Csaba Szepesvári","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/amortila23a.html
Meta Optimal Transport.,"Brandon Amos, Giulia Luise, Samuel Cohen, Ievgen Redko","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/amos23a.html
Near-Optimal Φ-Regret Learning in Extensive-Form Games.,"Ioannis Anagnostides, Gabriele Farina, Tuomas Sandholm","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/anagnostides23a.html
A Modern Look at the Relationship between Sharpness and Generalization.,"Maksym Andriushchenko, Francesco Croce, Maximilian Müller, Matthias Hein, Nicolas Flammarion","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/andriushchenko23a.html
SGD with Large Step Sizes Learns Sparse Features.,"Maksym Andriushchenko, Aditya Vardhan Varre, Loucas Pillaud-Vivien, Nicolas Flammarion","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/andriushchenko23b.html
Neural Continuous-Discrete State Space Models for Irregularly-Sampled Time Series.,"Abdul Fatir Ansari, Alvin Heng, Andre Lim, Harold Soh","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/ansari23a.html
Paging with Succinct Predictions.,"Antonios Antoniadis, Joan Boyar, Marek Eliás, Lene Monrad Favrholdt, Ruben Hoeksma, Kim S. Larsen, Adam Polak, Bertrand Simon","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/antoniadis23a.html
Mixing Predictions for Online Metric Algorithms.,"Antonios Antoniadis, Christian Coester, Marek Eliás, Adam Polak, Bertrand Simon","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/antoniadis23b.html
Exponential Smoothing for Off-Policy Learning.,"Imad Aouali, Victor-Emmanuel Brunel, David Rohde, Anna Korba","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/aouali23a.html
Polynomial Time and Private Learning of Unbounded Gaussian Mixture Models.,"Jamil Arbas, Hassan Ashtiani, Christopher Liaw","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/arbas23a.html
Principled Acceleration of Iterative Numerical Methods Using Machine Learning.,"Sohei Arisaka, Qianxiao Li","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/arisaka23a.html
Faster Rates of Convergence to Stationary Points in Differentially Private Optimization.,"Raman Arora, Raef Bassily, Tomás González, Cristóbal Guzmán, Michael Menart, Enayat Ullah","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/arora23a.html
Prototype-Sample Relation Distillation: Towards Replay-Free Continual Learning.,"Nader Asadi, MohammadReza Davari, Sudhir P. Mudur, Rahaf Aljundi, Eugene Belilovsky","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/asadi23a.html
Near-Optimal Algorithms for Private Online Optimization in the Realizable Regime.,"Hilal Asi, Vitaly Feldman, Tomer Koren, Kunal Talwar","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/asi23a.html
From Robustness to Privacy and Back.,"Hilal Asi, Jonathan R. Ullman, Lydia Zakynthinou","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/asi23b.html
"SGD with AdaGrad Stepsizes: Full Adaptivity with High Probability to Unknown Parameters, Unbounded Gradients and Affine Variance.","Amit Attia, Tomer Koren","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/attia23a.html
Adversarially Robust PAC Learnability of Real-Valued Functions.,"Idan Attias, Steve Hanneke","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/attias23a.html
Infusing Lattice Symmetry Priors in Attention Mechanisms for Sample-Efficient Abstract Geometric Reasoning.,"Mattia Atzeni, Mrinmaya Sachan, Andreas Loukas","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/atzeni23a.html
Learning to Initiate and Reason in Event-Driven Cascading Processes.,"Yuval Atzmon, Eli A. Meirom, Shie Mannor, Gal Chechik","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/atzmon23a.html
On the convergence of the MLE as an estimator of the learning rate in the Exp3 algorithm.,"Julien Aubert, Luc Lehéricy, Patricia Reynaud-Bouret","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/aubert23a.html
Dirichlet Diffusion Score Model for Biological Sequence Generation.,"Pavel Avdeyev, Chenlai Shi, Yuhao Tan, Kseniia Dudnyk, Jian Zhou","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/avdeyev23a.html
Gradient Descent Converges Linearly for Logistic Regression on Separable Data.,"Kyriakos Axiotis, Maxim Sviridenko","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/axiotis23a.html
Naive imputation implicitly regularizes high-dimensional linear models.,"Alexis Ayme, Claire Boyer, Aymeric Dieuleveut, Erwan Scornet","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/ayme23a.html
Half-Hop: A graph upsampling approach for slowing down message passing.,"Mehdi Azabou, Venkataramana Ganesh, Shantanu Thakoor, Chi-Heng Lin, Lakshmi Sathidevi, Ran Liu, Michal Valko, Petar Velickovic, Eva L. Dyer","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/azabou23a.html
CLUTR: Curriculum Learning via Unsupervised Task Representation Learning.,"Abdus Salam Azad, Izzeddin Gur, Jasper Emhoff, Nathaniel Alexis, Aleksandra Faust, Pieter Abbeel, Ion Stoica","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/azad23a.html
Personalized Subgraph Federated Learning.,"Jinheon Baek, Wonyong Jeong, Jiongdao Jin, Jaehong Yoon, Sung Ju Hwang","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/baek23a.html
"Efficient Self-supervised Learning with Contextualized Target Representations for Vision, Speech and Language.","Alexei Baevski, Arun Babu, Wei-Ning Hsu, Michael Auli","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/baevski23a.html
Efficient preconditioned stochastic gradient descent for estimation in latent variable models.,"Charlotte Baey, Maud Delattre, Estelle Kuhn, Jean-Benoist Leger, Sarah Lemler","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/baey23a.html
Feed Two Birds with One Scone: Exploiting Wild Data for Both Out-of-Distribution Generalization and Detection.,"Haoyue Bai, Gregory Canal, Xuefeng Du, Jeongyeol Kwon, Robert D. Nowak, Yixuan Li","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bai23a.html
Answering Complex Logical Queries on Knowledge Graphs via Query Computation Tree Optimization.,"Yushi Bai, Xin Lv, Juanzi Li, Lei Hou","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bai23b.html
Linear optimal partial transport embedding.,"Yikun Bai, Ivan Vladimir Medri, Rocio Diaz Martin, Rana Muhammad Shahroz Khan, Soheil Kolouri","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bai23c.html
Implicit Graph Neural Networks: A Monotone Operator Viewpoint.,"Justin M. Baker, Qingsong Wang, Cory D. Hauck, Bao Wang","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/baker23a.html
Tensor Decompositions Meet Control Theory: Learning General Mixtures of Linear Dynamical Systems.,"Ainesh Bakshi, Allen Liu, Ankur Moitra, Morris Yau","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bakshi23a.html
Block Subsampled Randomized Hadamard Transform for Nyström Approximation on Distributed Architectures.,"Oleg Balabanov, Matthias Beaupère, Laura Grigori, Victor Lederer","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/balabanov23a.html
Efficient Online Reinforcement Learning with Offline Data.,"Philip J. Ball, Laura M. Smith, Ilya Kostrikov, Sergey Levine","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/ball23a.html
Mirror Sinkhorn: Fast Online Optimization on Transport Polytopes.,"Marin Ballu, Quentin Berthet","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/ballu23a.html
On the Functional Similarity of Robust and Non-Robust Neural Representations.,"András Balogh, Márk Jelasity","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/balogh23a.html
Robust Budget Pacing with a Single Sample.,"Santiago R. Balseiro, Rachitesh Kumar, Vahab Mirrokni, Balasubramanian Sivan, Di Wang","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/balseiro23a.html
Dynamic Constrained Submodular Optimization with Polylogarithmic Update Time.,"Kiarash Banihashem, Leyla Biabani, Samira Goudarzi, MohammadTaghi Hajiaghayi, Peyman Jabbarzade, Morteza Monemizadeh","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/banihashem23a.html
One Transformer Fits All Distributions in Multi-Modal Diffusion at Scale.,"Fan Bao, Shen Nie, Kaiwen Xue, Chongxuan Li, Shi Pu, Yaole Wang, Gang Yue, Yue Cao, Hang Su, Jun Zhu","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bao23a.html
Optimizing the Collaboration Structure in Cross-Silo Federated Learning.,"Wenxuan Bao, Haohan Wang, Jun Wu, Jingrui He","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bao23b.html
MultiDiffusion: Fusing Diffusion Paths for Controlled Image Generation.,"Omer Bar-Tal, Lior Yariv, Yaron Lipman, Tali Dekel","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bar-tal23a.html
Reinforcement Learning with General Utilities: Simpler Variance Reduction and Large State-Action Space.,"Anas Barakat, Ilyas Fatkhullin, Niao He","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/barakat23a.html
Interpretable Neural-Symbolic Concept Reasoning.,"Pietro Barbiero, Gabriele Ciravegna, Francesco Giannini, Mateo Espinosa Zarlenga, Lucie Charlotte Magister, Alberto Tonda, Pietro Lio, Frédéric Precioso, Mateja Jamnik, Giuseppe Marra","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/barbiero23a.html
Moccasin: Efficient Tensor Rematerialization for Neural Networks.,"Burak Bartan, Haoming Li, Harris Teague, Christopher Lott, Bistra Dilkina","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bartan23a.html
User-level Private Stochastic Convex Optimization with Optimal Rates.,"Raef Bassily, Ziteng Sun","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bassily23a.html
A Statistical Perspective on Retrieval-Based Models.,"Soumya Basu, Ankit Singh Rawat, Manzil Zaheer","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/basu23a.html
Human-Timescale Adaptation in an Open-Ended Task Space.,"Jakob Bauer, Kate Baumli, Feryal M. P. Behbahani, Avishkar Bhoopchand, Nathalie Bradley-Schmieg, Michael Chang, Natalie Clay, Adrian Collister, Vibhavari Dasagi, Lucy Gonzalez, Karol Gregor, Edward Hughes, Sheleem Kashem, Maria Loks-Thompson, Hannah Openshaw, Jack Parker-Holder, Shreya Pathak, Nicolas Perez Nieves, Nemanja Rakicevic, Tim Rocktäschel, Yannick Schroecker, Satinder Singh, Jakub Sygnowski, Karl Tuyls, Sarah York, Alexander Zacherl, Lei M. Zhang","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bauer23a.html
A Kernel Stein Test of Goodness of Fit for Sequential Models.,"Jerome Baum, Heishiro Kanagawa, Arthur Gretton","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/baum23a.html
Individually Fair Learning with One-Sided Feedback.,"Yahav Bechavod, Aaron Roth","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bechavod23a.html
Predicting Ordinary Differential Equations with Transformers.,"Sören Becker, Michal Klein, Alexander Neitz, Giambattista Parascandolo, Niki Kilbertus","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/becker23a.html
Explaining Reinforcement Learning with Shapley Values.,"Daniel Beechey, Thomas M. S. Smith, Özgür Simsek","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/beechey23a.html
TIDE: Time Derivative Diffusion for Deep Learning on Graphs.,"Maysam Behmanesh, Maximilian Krahn, Maks Ovsjanikov","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/behmanesh23a.html
Fast as CHITA: Neural Network Pruning with Combinatorial Optimization.,"Riade Benbaki, Wenyu Chen, Xiang Meng, Hussein Hazimeh, Natalia Ponomareva, Zhe Zhao, Rahul Mazumder","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/benbaki23a.html
Continuously Parameterized Mixture Models.,"Christopher M. Bender, Yifeng Shi, Marc Niethammer, Junier Oliva","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bender23a.html
Controllable Neural Symbolic Regression.,"Tommaso Bendinelli, Luca Biggio, Pierre-Alexandre Kamienny","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bendinelli23a.html
On Second-Order Scoring Rules for Epistemic Uncertainty Quantification.,"Viktor Bengs, Eyke Hüllermeier, Willem Waegeman","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bengs23a.html
Certified Robust Neural Networks: Generalization and Corruption Resistance.,"M. Amine Bennouna, Ryan Lucas, Bart P. G. Van Parys","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bennouna23a.html
Gaussian processes at the Helm(holtz): A more fluid model for ocean currents.,"Renato Berlinghieri, Brian L. Trippe, David R. Burt, Ryan James Giordano, Kaushik Srinivasan, Tamay M. Özgökmen, Junfei Xia, Tamara Broderick","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/berlinghieri23a.html
Optimal Rates and Efficient Algorithms for Online Bayesian Persuasion.,"Martino Bernasconi, Matteo Castiglioni, Andrea Celli, Alberto Marchesi, Francesco Trovò, Nicola Gatti","40th ICML 2023:
Honolulu, HI, USA",2023,https://proceedings.mlr.press/v202/bernasconi23a.html
