title,authors,conference_name,conference_year,link
Anytime Capacity Expansion in Medical Residency Match by Monte Carlo Tree Search.,"Kenshi Abe, Junpei Komiyama, Atsushi Iwasaki","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/1
Socially Intelligent Genetic Agents for the Emergence of Explicit Norms.,"Rishabh Agrawal, Nirav Ajmeri, Munindar P. Singh","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/2
An EF2X Allocation Protocol for Restricted Additive Valuations.,"Hannaneh Akrami, Rojin Rezvan, Masoud Seddighin","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/3
Better Collective Decisions via Uncertainty Reduction.,"Shiri Alouf-Heffetz, Laurent Bulteau, Edith Elkind, Nimrod Talmon, Nicholas Teh","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/4
How Should We Vote? A Comparison of Voting Systems within Social Networks.,"Shiri Alouf-Heffetz, Ben Armstrong, Kate Larson, Nimrod Talmon","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/5
Public Signaling in Bayesian Ad Auctions.,"Francesco Bacchiocchi, Matteo Castiglioni, Alberto Marchesi, Giulia Romano, Nicola Gatti","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/6
Mixed Strategies for Security Games with General Defending Requirements.,"Rufan Bai, Haoxing Lin, Xinyu Yang, Xiaowei Wu, Minming Li, Weijia Jia","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/7
Envy-Free and Pareto-Optimal Allocations for Agents with Asymmetric Random Valuations.,"Yushi Bai, Paul Gölz","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/8
Achieving Envy-Freeness with Limited Subsidies under Dichotomous Valuations.,"Siddharth Barman, Anand Krishna, Yadati Narahari, Soumyarup Sadhukhan","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/9
"Transparency, Detection and Imitation in Strategic Classification.","Flavia Barsotti, Rüya Gökhan Koçer, Fernando P. Santos","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/10
Time-Constrained Participatory Budgeting Under Uncertain Project Costs.,"Dorothea Baumeister, Linus Boes, Christian Laußmann","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/11
Tolerance is Necessary for Stability: Single-Peaked Swap Schelling Games.,"Davide Bilò, Vittorio Bilò, Pascal Lenzner, Louise Molitor","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/12
General Opinion Formation Games with Social Group Membership.,"Vittorio Bilò, Diodato Ferraioli, Cosimo Vinci","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/13
Fair Equilibria in Sponsored Search Auctions: The Advertisers' Perspective.,"Georgios Birmpas, Andrea Celli, Riccardo Colini-Baldeschi, Stefano Leonardi","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/14
Understanding Distance Measures Among Elections.,"Niclas Boehmer, Piotr Faliszewski, Rolf Niedermeier, Stanislaw Szufa, Tomasz Was","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/15
Toward Policy Explanations for Multi-Agent Reinforcement Learning.,"Kayla Boggess, Sarit Kraus, Lu Feng","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/16
Distortion in Voting with Top-t Preferences.,"Allan Borodin, Daniel Halpern, Mohamad Latifian, Nisarg Shah","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/17
Let's Agree to Agree: Targeting Consensus for Incomplete Preferences through Majority Dynamics.,"Sirin Botan, Simon Rey, Zoi Terzopoulou","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/18
Incentives in Social Decision Schemes with Pairwise Comparison Preferences.,"Felix Brandt, Patrick Lederer, Warut Suksompong","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/19
Single-Peaked Opinion Updates.,"Robert Bredereck, Anne-Marie George, Jonas Israel, Leon Kellerhals","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/20
When Votes Change and Committees Should (Not).,"Robert Bredereck, Till Fluschnik, Andrzej Kaczmarczyk","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/21
Network Creation with Homophilic Agents.,"Martin Bullinger, Pascal Lenzner, Anna Melnichenko","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/22
VidyutVanika21: An Autonomous Intelligent Broker for Smart-grids.,"Sanjay Chandlekar, Bala Suraj Pedasingu, Easwar Subramanian, Sanjay Bhat, Praveen Paruchuri, Sujit Gujar","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/23
Optimal Anonymous Independent Reward Scheme Design.,"Mengjing Chen, Pingzhong Tang, Zihe Wang, Shenke Xiao, Xiwang Yang","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/24
Goal Consistency: An Effective Multi-Agent Cooperative Method for Multistage Tasks.,"Xinning Chen, Xuan Liu, Shigeng Zhang, Bo Ding, Kenli Li","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/25
On the Convergence of Fictitious Play: A Decomposition Approach.,"Yurong Chen, Xiaotie Deng, Chenchen Li, David Mguni, Jun Wang, Xiang Yan, Yaodong Yang","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/26
Two-Sided Matching over Social Networks.,"Sung-Ho Cho, Taiki Todo, Makoto Yokoo","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/27
A Formal Model for Multiagent Q-Learning Dynamics on Regular Graphs.,"Chen Chu, Yong Li, Jinzhuo Liu, Shuyue Hu, Xuelong Li, Zhen Wang","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/28
Preserving Consistency in Multi-Issue Liquid Democracy.,"Rachael Colley, Umberto Grandi","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/29
Voting in Two-Crossing Elections.,"Andrei Constantinescu, Roger Wattenhofer","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/30
Multi-Agent Intention Progression with Reward Machines.,"Michael Dann, Yuan Yao, Natasha Alechina, Brian Logan, John Thangarajah","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/31
An Analysis of the Linear Bilateral ANAC Domains Using the MiCRO Benchmark Strategy.,Dave de Jonge,"31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/32
Approval with Runoff.,"Théo Delemazure, Jérôme Lang, Jean-François Laslier, M. Remzi Sanver","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/33
The Complexity of Envy-Free Graph Cutting.,"Argyrios Deligkas, Eduard Eiben, Robert Ganian, Thekla Hamm, Sebastian Ordyniak","31st IJCAI 2022: Vienna, Austria",2022,https://doi.org/10.24963/ijcai.2022/34
