期号,详情页链接,开奖日期,星期,中奖号码_前区,中奖号码_后区,出球顺序_前区,出球顺序_后区,总销售额(元),奖池奖金(元),1等奖_基本注数,1等奖_基本单注奖金(元),1等奖_基本总奖金(元),1等奖_追加注数,1等奖_追加单注奖金(元),1等奖_追加总奖金(元),1等奖_派奖注数,1等奖_派奖单注金额(元),1等奖_派奖总金额(元),1等奖_追加派奖注数,1等奖_追加派奖单注金额(元),1等奖_追加派奖总金额(元),2等奖_基本注数,2等奖_基本单注奖金(元),2等奖_基本总奖金(元),2等奖_追加注数,2等奖_追加单注奖金(元),2等奖_追加总奖金(元),2等奖_派奖注数,2等奖_派奖单注金额(元),2等奖_派奖总金额(元),2等奖_追加派奖注数,2等奖_追加派奖单注金额(元),2等奖_追加派奖总金额(元),3等奖_基本注数,3等奖_基本单注奖金(元),3等奖_基本总奖金(元),3等奖_追加注数,3等奖_追加单注奖金(元),3等奖_追加总奖金(元),4等奖_基本注数,4等奖_基本单注奖金(元),4等奖_基本总奖金(元),4等奖_追加注数,4等奖_追加单注奖金(元),4等奖_追加总奖金(元),5等奖_基本注数,5等奖_基本单注奖金(元),5等奖_基本总奖金(元),5等奖_追加注数,5等奖_追加单注奖金(元),5等奖_追加总奖金(元),6等奖_基本注数,6等奖_基本单注奖金(元),6等奖_基本总奖金(元),6等奖_追加注数,6等奖_追加单注奖金(元),6等奖_追加总奖金(元),7等奖_基本注数,7等奖_基本单注奖金(元),7等奖_基本总奖金(元),7等奖_追加注数,7等奖_追加单注奖金(元),7等奖_追加总奖金(元),8等奖_基本注数,8等奖_基本单注奖金(元),8等奖_基本总奖金(元),8等奖_追加注数,8等奖_追加单注奖金(元),8等奖_追加总奖金(元),9等奖_基本注数,9等奖_基本单注奖金(元),9等奖_基本总奖金(元),9等奖_追加注数,9等奖_追加单注奖金(元),9等奖_追加总奖金(元)
25076,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25076,2025-07-07,星期一,11 18 22 25 29,04 12,22 25 29 11 18,12 04,306337461,1612133474,7,10000000,70000000,1,8000000,8000000,0,0,0,0,0,0,122,124331,15168382,26,99464,2586064,0,0,0,0,0,0,320,10000,3200000,0,0,0,854,3000,2562000,0,0,0,19276,300,5782800,0,0,0,25110,200,5022000,0,0,0,43612,100,4361200,0,0,0,745315,15,11179725,0,0,0,7459040,5,37295200,0,0,0
25075,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25075,2025-07-05,星期六,08 12 16 19 35,06 09,12 35 08 16 19,06 09,327099927,1627185578,9,8126105,73134945,2,6500884,13001768,0,0,0,0,0,0,142,86993,12353006,32,69594,2227008,0,0,0,0,0,0,339,10000,3390000,0,0,0,1443,3000,4329000,0,0,0,22627,300,6788100,0,0,0,42556,200,8511200,0,0,0,61680,100,6168000,0,0,0,1044512,15,15667680,0,0,0,9830308,5,49151540,0,0,0
25074,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25074,2025-07-02,星期三,02 11 15 18 21,05 10,11 18 02 15 21,10 05,304472528,1661629014,10,8367964,83679640,1,6694371,6694371,0,0,0,0,0,0,80,163981,13118480,22,131184,2886048,0,0,0,0,0,0,200,10000,2000000,0,0,0,1028,3000,3084000,0,0,0,16062,300,4818600,0,0,0,32533,200,6506600,0,0,0,35723,100,3572300,0,0,0,846234,15,12693510,0,0,0,8753700,5,43768500,0,0,0
25073,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25073,2025-06-30,星期一,01 04 17 33 34,03 09,01 17 04 34 33,03 09,306793454,1695259566,11,7635760,83993360,2,6108608,12217216,0,0,0,0,0,0,158,76908,12151464,40,61526,2461040,0,0,0,0,0,0,232,10000,2320000,0,0,0,1797,3000,5391000,0,0,0,19904,300,5971200,0,0,0,44942,200,8988400,0,0,0,33222,100,3322200,0,0,0,906441,15,13596615,0,0,0,8863643,5,44318215,0,0,0
25072,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25072,2025-06-28,星期六,04 07 15 24 29,01 04,07 04 15 24 29,04 01,337329044,1739661640,6,10000000,60000000,2,8000000,16000000,0,0,0,0,0,0,131,125166,16396746,40,100132,4005280,0,0,0,0,0,0,436,10000,4360000,0,0,0,784,3000,2352000,0,0,0,19172,300,5751600,0,0,0,21593,200,4318600,0,0,0,60486,100,6048600,0,0,0,732974,15,10994610,0,0,0,7745815,5,38729075,0,0,0
25071,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25071,2025-06-25,星期三,01 08 25 31 33,05 11,08 01 25 31 33,05 11,313848778,1743326978,3,10000000,30000000,0,0,0,0,0,0,0,0,0,65,211711,13761215,10,169368,1693680,0,0,0,0,0,0,173,10000,1730000,0,0,0,943,3000,2829000,0,0,0,14618,300,4385400,0,0,0,35984,200,7196800,0,0,0,29170,100,2917000,0,0,0,905690,15,13585350,0,0,0,10178530,5,50892650,0,0,0
25070,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25070,2025-06-23,星期一,08 09 15 20 22,04 12,22 09 08 20 15,12 04,312961169,1718532211,2,10000000,20000000,0,0,0,0,0,0,0,0,0,112,123539,13836368,34,98831,3360254,0,0,0,0,0,0,442,10000,4420000,0,0,0,773,3000,2319000,0,0,0,20276,300,6082800,0,0,0,23269,200,4653800,0,0,0,55689,100,5568900,0,0,0,786933,15,11803995,0,0,0,8067094,5,40335470,0,0,0
25069,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25069,2025-06-21,星期六,04 06 07 33 34,09 10,07 04 33 06 34,10 09,338663590,1677561945,3,10000000,30000000,0,0,0,0,0,0,0,0,0,71,269001,19099071,15,215200,3228000,0,0,0,0,0,0,279,10000,2790000,0,0,0,578,3000,1734000,0,0,0,14719,300,4415700,0,0,0,21655,200,4331000,0,0,0,34166,100,3416600,0,0,0,681179,15,10217685,0,0,0,7510636,5,37553180,0,0,0
25068,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25068,2025-06-18,星期三,01 04 17 20 22,04 10,20 04 01 17 22,10 04,318966997,1628402089,2,10000000,20000000,1,8000000,8000000,0,0,0,0,0,0,98,159002,15582196,28,127201,3561628,0,0,0,0,0,0,284,10000,2840000,0,0,0,699,3000,2097000,0,0,0,17313,300,5193900,0,0,0,22395,200,4479000,0,0,0,52242,100,5224200,0,0,0,718573,15,10778595,0,0,0,7732706,5,38663530,0,0,0
25067,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25067,2025-06-16,星期一,06 10 12 21 22,01 06,12 22 06 21 10,01 06,321766533,1588528359,5,10000000,50000000,1,8000000,8000000,0,0,0,0,0,0,156,101197,15786732,40,80957,3238280,0,0,0,0,0,0,405,10000,4050000,0,0,0,878,3000,2634000,0,0,0,20232,300,6069600,0,0,0,23824,200,4764800,0,0,0,53169,100,5316900,0,0,0,736714,15,11050710,0,0,0,7460408,5,37302040,0,0,0
