前区号码\后区号码,1,2,3,4,5,6,7,8,9,10,11,12
1,0,1,1,1,1,1,0,0,1,2,0,0
2,0,3,1,1,1,0,1,1,1,2,0,1
3,1,1,3,0,0,1,1,0,2,1,1,1
4,0,2,3,1,1,2,1,2,1,1,0,0
5,1,0,1,2,0,1,1,2,1,0,0,1
6,3,0,2,0,0,1,3,0,0,0,0,1
7,0,1,1,0,1,1,0,1,0,1,1,1
8,1,3,3,2,1,0,2,0,0,1,1,2
9,0,0,1,1,0,0,0,1,0,0,0,1
10,3,1,1,2,0,1,2,1,0,1,0,0
11,1,1,1,2,1,0,1,1,0,2,1,1
12,1,0,0,0,0,1,0,1,0,0,0,1
13,0,0,1,1,1,1,0,0,0,2,0,0
14,1,1,0,0,1,0,1,0,0,0,0,0
15,2,1,0,2,1,1,2,1,0,0,0,2
16,0,2,0,2,4,0,1,0,2,1,1,1
17,0,1,1,0,1,0,0,0,1,0,0,0
18,2,1,1,1,1,0,2,1,1,0,1,1
19,0,0,1,0,0,1,0,0,1,1,0,0
20,2,1,3,5,2,1,3,3,1,0,1,2
21,2,2,2,1,1,2,1,0,2,0,1,0
22,1,0,2,4,1,2,1,2,1,0,0,2
23,2,0,1,1,1,1,1,0,0,1,1,1
24,0,0,0,1,1,0,0,0,0,0,0,0
25,2,1,2,2,0,0,3,0,0,1,0,1
26,0,1,1,0,0,0,0,0,0,0,0,0
27,0,0,0,2,0,1,0,0,1,1,1,0
28,0,0,0,0,1,1,0,1,0,1,0,0
29,1,2,2,2,0,0,1,3,0,1,0,2
30,1,2,0,1,0,1,0,1,1,1,0,0
31,1,1,0,3,1,1,0,0,0,1,0,2
32,0,0,1,3,0,1,0,0,1,1,0,1
33,0,0,1,0,1,2,0,1,1,0,0,0
34,1,0,2,2,0,0,1,2,1,1,0,0
35,1,1,1,0,1,0,1,0,0,1,0,0
