前区号码\后区号码,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0,0,1,2,0,0,0,1,1,1,0
2,2,1,0,0,1,0,1,0,1,1,1,0
3,2,2,1,0,1,0,0,0,1,0,1,0
4,0,0,0,1,2,0,1,0,0,1,1,0
5,1,1,1,2,0,1,3,0,2,2,0,1
6,1,1,1,0,1,1,0,1,1,0,1,0
7,2,1,0,1,2,0,1,1,3,0,1,0
8,1,0,1,1,2,0,1,2,1,0,1,0
9,2,1,1,0,1,0,1,0,1,1,0,0
10,1,2,2,0,0,1,0,0,2,1,0,1
11,1,2,1,0,2,0,1,0,0,1,0,0
12,2,2,2,0,1,0,1,1,1,1,1,0
13,1,0,0,0,0,0,1,0,0,0,0,0
14,0,0,0,0,0,2,0,0,0,1,0,1
15,1,1,0,1,1,0,0,2,1,2,1,0
16,0,1,0,1,0,1,1,0,1,0,1,0
17,1,1,0,3,0,0,1,1,2,1,0,0
18,1,0,0,1,1,0,1,0,0,2,0,0
19,0,1,0,0,1,0,1,0,0,1,0,0
20,0,1,0,3,0,1,0,1,3,3,1,1
21,2,2,1,1,3,0,2,1,0,2,1,1
22,3,3,1,2,2,0,1,3,3,2,1,1
23,1,0,0,0,1,1,1,0,1,0,0,1
24,0,0,1,0,0,0,0,1,1,0,0,1
25,2,1,0,2,2,0,1,1,3,0,1,1
26,1,2,2,0,0,0,0,2,1,2,0,0
27,1,1,0,1,1,1,1,0,0,1,1,0
28,1,1,1,2,0,1,1,2,1,2,1,1
29,0,1,0,1,1,2,0,2,1,2,1,1
30,2,0,1,1,2,1,2,2,1,0,0,2
31,2,0,2,0,2,1,2,0,2,2,1,0
32,0,0,0,1,0,0,1,1,1,0,1,1
33,1,0,1,1,1,1,1,0,1,1,1,1
34,0,0,0,2,2,0,2,1,2,1,0,0
35,0,1,0,1,0,0,0,0,1,1,0,0
