title,authors,conference_name,conference_year,link
Learning Unseen Emotions from Gestures via Semantically-Conditioned Zero-Shot Perception with Adversarial Autoencoders.,"Abhishek Banerjee, Uttaran Bhattacharya, Aniket Bera",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19873
Optimized Potential Initialization for Low-Latency Spiking Neural Networks.,"Tong Bu, Jianhao Ding, Zhaofei Yu, Tiejun Huang",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19874
Planning with Biological Neurons and Synapses.,"Francesco D'Amore, Daniel Mitropolsky, Pierluigi Crescenzi, Emanuele Natale, Christos H. Papadimitriou",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19875
Backprop-Free Reinforcement Learning with Active Neural Generative Coding.,"Alexander G. Ororbia II, Ankur Arjun Mali",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19876
VECA: A New Benchmark and Toolkit for General Cognitive Development.,"Kwanyoung Park, Hyunseok Oh, Youngki Lee",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19877
Bridging between Cognitive Processing Signals and Linguistic Features via a Unified Attentional Network.,"Yuqi Ren, Deyi Xiong",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19878
Multi-Sacle Dynamic Coding Improved Spiking Actor Network for Reinforcement Learning.,"Duzhen Zhang, Tielin Zhang, Shuncheng Jia, Bo Xu",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19879
Joint Human Pose Estimation and Instance Segmentation with PosePlusSeg.,"Niaz Ahmad, Jawad Khan, Jeremy Yuhyun Kim, Youngmoon Lee",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19880
Logic Rule Guided Attribution with Dynamic Ablation.,"Jianqiao An, Yuandu Lai, Yahong Han",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19881
Neural Marionette: Unsupervised Learning of Motion Skeleton and Latent Dynamics from Volumetric Video.,"Jinseok Bae, Hojun Jang, Cheol-Hui Min, Hyungun Choi, Young Min Kim",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19882
Deformable Part Region Learning for Object Detection.,Seung-Hwan Bae,36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19883
