title,authors,conference_name,conference_year,link
Specularity Factorization for Low-Light Enhancement.,"Saurabh Saini, P. J. Narayanan","CVPR 2024:
Seattle, WA, USA",2024,https://doi.org/10.1109/CVPR52733.2024.00009
A Category Agnostic Model for Visual Rearrangment.,"Yuyi Liu, Xinhang Song, Weijie Li, Xiaohan Wang, Shuqiang Jiang","CVPR 2024:
Seattle, WA, USA",2024,https://doi.org/10.1109/CVPR52733.2024.01557
FlowIE: Efficient Image Enhancement via Rectified Flow.,"Yixuan Zhu, Wenliang Zhao, Ao Li, Yansong Tang, Jie Zhou, Jiwen Lu","CVPR 2024:
Seattle, WA, USA",2024,https://doi.org/10.1109/CVPR52733.2024.00010
Towards Robust Event-guided Low-Light Image Enhancement: A Large-Scale Real-World Event-Image Dataset and Novel Approach.,"Guoqiang Liang, Kanghao Chen, Hangyu Li, Yunfan Lu, Lin Wang","CVPR 2024:
Seattle, WA, USA",2024,https://doi.org/10.1109/CVPR52733.2024.00011
Bilateral Event Mining and Complementary for Event Stream Super-Resolution.,"Zhilin Huang, Quanmin Liang, Yijie Yu, Chujun Qin, Xiawu Zheng, Kai Huang, Zikun Zhou, Wenming Yang","CVPR 2024:
Seattle, WA, USA",2024,https://doi.org/10.1109/CVPR52733.2024.00012
FMA-Net: Flow-Guided Dynamic Filtering and Iterative Feature Refinement with Multi-Attention for Joint Video Super-Resolution and Deblurring.,"Geunhyuk Youk, Jihyong Oh, Munchurl Kim","CVPR 2024:
Seattle, WA, USA",2024,https://doi.org/10.1109/CVPR52733.2024.00013
GPLD3D: Latent Diffusion of 3D Shape Generative Models by Enforcing Geometric and Physical Priors.,"Yuan Dong, Qi Zuo, Xiaodong Gu, Weihao Yuan, Zhengyi Zhao, Zilong Dong, Liefeng Bo, Qixing Huang","CVPR 2024:
Seattle, WA, USA",2024,https://doi.org/10.1109/CVPR52733.2024.00014
Retrieval-Augmented Layout Transformer for Content-Aware Layout Generation.,"Daichi Horita, Naoto Inoue, Kotaro Kikuchi, Kota Yamaguchi, Kiyoharu Aizawa","CVPR 2024:
Seattle, WA, USA",2024,https://doi.org/10.1109/CVPR52733.2024.00015
Eclipse: Disambiguating Illumination and Materials Using Unintended Shadows.,"Dor Verbin, Ben Mildenhall, Peter Hedman, Jonathan T. Barron, Todd E. Zickler, Pratul P. Srinivasan","CVPR 2024:
Seattle, WA, USA",2024,https://doi.org/10.1109/CVPR52733.2024.00016
Objects as Volumes: A Stochastic Geometry View of Opaque Solids.,"Bailey Miller, Hanyu Chen, Alice Lai, Ioannis Gkioulekas","CVPR 2024:
Seattle, WA, USA",2024,https://doi.org/10.1109/CVPR52733.2024.00017
DiffusionLight: Light Probes for Free by Painting a Chrome Ball.,"Pakkapon Phongthawee, Worameth Chinchuthakun, Nontaphat Sinsunthithet, Varun Jampani, Amit Raj, Pramook Khungurn, Supasorn Suwajanakorn","CVPR 2024:
Seattle, WA, USA",2024,https://doi.org/10.1109/CVPR52733.2024.00018
