title,authors,conference_name,conference_year,link
Selective Dyna-Style Planning Under Limited Model Capacity.,"Zaheer Abbas, Samuel Sokota, Erin Talvitie, Martha White",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/abbas20a.html
A distributional view on multi-objective policy optimization.,"Abbas Abdolmaleki, Sandy H. Huang, Leonard Hasenclever, Michael Neunert, H. Francis Song, Martina Zambelli, Murilo F. Martins, Nicolas Heess, Raia Hadsell, Martin A. Riedmiller",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/abdolmaleki20a.html
Efficient Optimistic Exploration in Linear-Quadratic Regulators via Lagrangian Relaxation.,"Marc Abeille, Alessandro Lazaric",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/abeille20a.html
Super-efficiency of automatic differentiation for functions defined as a minimum.,"Pierre Ablin, Gabriel Peyré, Thomas Moreau",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/ablin20a.html
A Geometric Approach to Archetypal Analysis via Sparse Projections.,"Vinayak Abrol, Pulkit Sharma",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/abrol20a.html
Context Aware Local Differential Privacy.,"Jayadev Acharya, Kallista A. Bonawitz, Peter Kairouz, Daniel Ramage, Ziteng Sun",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/acharya20a.html
Efficient Intervention Design for Causal Discovery with Latents.,"Raghavendra Addanki, Shiva Prasad Kasiviswanathan, Andrew McGregor, Cameron Musco",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/addanki20a.html
The Neural Tangent Kernel in High Dimensions: Triple Descent and a Multi-Scale Theory of Generalization.,"Ben Adlam, Jeffrey Pennington",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/adlam20a.html
Rank Aggregation from Pairwise Comparisons in the Presence of Adversarial Corruptions.,"Arpit Agarwal, Shivani Agarwal, Sanjeev Khanna, Prathamesh Patil",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/agarwal20a.html
Boosting for Control of Dynamical Systems.,"Naman Agarwal, Nataly Brukhim, Elad Hazan, Zhou Lu",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/agarwal20b.html
An Optimistic Perspective on Offline Reinforcement Learning.,"Rishabh Agarwal, Dale Schuurmans, Mohammad Norouzi",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/agarwal20c.html
Optimal Bounds between f-Divergences and Integral Probability Metrics.,"Rohit Agrawal, Thibaut Horel",37th ICML 2020: Virtual Event,2020,http://proceedings.mlr.press/v119/agrawal20a.html
