title,authors,conference_name,conference_year,link
Certified Policy Verification and Synthesis for MDPs under Distributional Reach-Avoidance Properties.,"S. Akshay, Krishnendu Chatterjee, Tobias Meggendorfer, Dorde Zikelic","33rd IJCAI 2024:
Jeju, South Korea",2024,https://www.ijcai.org/proceedings/2024/1
"Truth Table Net: Scalable, Compact & Verifiable Neural Networks with a Dual Convolutional Small Boolean Circuit Networks Form.","Adrien Benamira, Thomas Peyrin, Trevor Yap, Tristan Guérand, Bryan Hooi","33rd IJCAI 2024:
Jeju, South Korea",2024,https://www.ijcai.org/proceedings/2024/2
AutoAgents: A Framework for Automatic Agent Generation.,"Guangyao Chen, Siwei Dong, Yu Shu, Ge Zhang, Jaward Sesay, Börje Karlsson, Jie Fu, Yemin Shi","33rd IJCAI 2024:
Jeju, South Korea",2024,https://www.ijcai.org/proceedings/2024/3
PTDE: Personalized Training with Distilled Execution for Multi-Agent Reinforcement Learning.,"Yiqun Chen, Hangyu Mao, Jiaxin Mao, Shiguang Wu, Tianle Zhang, Bin Zhang, Wei Yang, Hongxing Chang","33rd IJCAI 2024:
Jeju, South Korea",2024,https://www.ijcai.org/proceedings/2024/4
Learning Translations: Emergent Communication Pretraining for Cooperative Language Acquisition.,"Dylan Cope, Peter McBurney","33rd IJCAI 2024:
Jeju, South Korea",2024,https://www.ijcai.org/proceedings/2024/5
Improving Multi-agent Reinforcement Learning with Stable Prefix Policy.,"Yue Deng, Zirui Wang, Yin Zhang","33rd IJCAI 2024:
Jeju, South Korea",2024,https://www.ijcai.org/proceedings/2024/6
Scalable Mechanism Design for Multi-Agent Path Finding.,"Paul Friedrich, Yulun Zhang, Michael J. Curry, Ludwig Dierks, Stephen McAleer, Jiaoyang Li, Tuomas Sandholm, Sven Seuken","33rd IJCAI 2024:
Jeju, South Korea",2024,https://www.ijcai.org/proceedings/2024/7
Endogenous Energy Reactive Modules Games: Modelling Side Payments among Resource-Bounded Agents.,"Julian Gutierrez, David Hyland, Muhammad Najib, Giuseppe Perelli, Michael J. Wooldridge","33rd IJCAI 2024:
Jeju, South Korea",2024,https://www.ijcai.org/proceedings/2024/8
Parameterized Complexity of Kidney Exchange Revisited.,"Úrsula Hébert-Johnson, Daniel Lokshtanov, Chinmay Sonar, Vaishali Surianarayanan","33rd IJCAI 2024:
Jeju, South Korea",2024,https://www.ijcai.org/proceedings/2024/9
CompetEvo: Towards Morphological Evolution from Competition.,"Kangyao Huang, Di Guo, Xinyu Zhang, Xiangyang Ji, Huaping Liu","33rd IJCAI 2024:
Jeju, South Korea",2024,https://www.ijcai.org/proceedings/2024/10
