title,authors,conference_name,conference_year,link
Beyond Value-Function Gaps: Improved Instance-Dependent Regret Bounds for Episodic Reinforcement Learning.,"Christoph Dann, Teodor Vanislavov Marinov, Mehryar Mohri, Julian Zimmert",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/000c076c390a4c357313fca29e390ece-Abstract.html
Learning One Representation to Optimize All Rewards.,"Ahmed Touati, Yann Ollivier",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/003dd617c12d444ff9c80f717c3fa982-Abstract.html
Matrix factorisation and the interpretation of geodesic distance.,"Nick Whiteley, Annie Gray, Patrick Rubin-Delanchy",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/007ff380ee5ac49ffc34442f5c2a2b86-Abstract.html
UniDoc: Unified Pretraining Framework for Document Understanding.,"Jiuxiang Gu, Jason Kuen, Vlad I. Morariu, Handong Zhao, Rajiv Jain, Nikolaos Barmpalios, Ani Nenkova, Tong Sun",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/0084ae4bc24c0795d1e6a4f58444d39b-Abstract.html
Finding Discriminative Filters for Specific Degradations in Blind Super-Resolution.,"Liangbin Xie, Xintao Wang, Chao Dong, Zhongang Qi, Ying Shan",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/008bd5ad93b754d500338c253d9c1770-Abstract.html
Counterfactual Explanations Can Be Manipulated.,"Dylan Slack, Anna Hilgard, Himabindu Lakkaraju, Sameer Singh",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/009c434cab57de48a31f6b669e7ba266-Abstract.html
From Canonical Correlation Analysis to Self-supervised Graph Neural Networks.,"Hengrui Zhang, Qitian Wu, Junchi Yan, David Wipf, Philip S. Yu",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/00ac8ed3b4327bdd4ebbebcb2ba10a00-Abstract.html
BAST: Bayesian Additive Regression Spanning Trees for Complex Constrained Domain.,"Zhao Tang Luo, Huiyan Sang, Bani K. Mallick",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/00b76fddeaaa7d8c2c43d504b2babd8a-Abstract.html
Hyperbolic Busemann Learning with Ideal Prototypes.,"Mina Ghadimi Atigh, Martin Keller-Ressel, Pascal Mettes",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/01259a0cb2431834302abe2df60a1327-Abstract.html
Backward-Compatible Prediction Updates: A Probabilistic Approach.,"Frederik Träuble, Julius von Kügelgen, Matthäus Kleindessner, Francesco Locatello, Bernhard Schölkopf, Peter V. Gehler",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/012d9fe15b2493f21902cd55603382ec-Abstract.html
