胡润百富榜年份,排名,排名变化,财富(人民币/亿),财富(美元/百万),财富变化,个人信息_人物关系,个人信息_姓名_中文,个人信息_姓名_英文,个人信息_性别,个人信息_年龄,个人信息_照片URL,个人信息_籍贯_中文,个人信息_籍贯_英文,个人信息_出生地_中文,个人信息_出生地_英文,个人信息_常住地_中文,个人信息_常住地_英文,个人信息_教育程度_中文,个人信息_教育程度_英文,个人信息_毕业院校,个人信息_专业_中文,个人信息_专业_英文,企业信息_公司名称_中文,企业信息_公司名称_英文,企业信息_公司总部_中文,企业信息_公司总部_英文,企业信息_行业_中文,企业信息_行业_英文
2024,1,4,3500.0,49300.0,43%,个人,张一鸣,Zhang Yiming,男,41,https://res.hurun.net/photo/000022_Zhang_Yiming.jpg,,,中国-福建-龙岩,China-Fujian-Longyan,中国-北京,China-Beijing,本科,Undergraduate,南开大学,,,字节跳动,ByteDance,北京,Beijing,社交媒体,Social Media
2024,2,-1,3400.0,47900.0,-24%,个人,钟睒睒,Zhong Shanshan,男,70,https://res.hurun.net/photo/005216_Zhong_Shanshan.jpg,,,中国-浙江-绍兴,,中国-浙江-杭州,,,,未知,,,养生堂,YST,浙江杭州,Zhejiang,饮料、医疗保健,"Drinks, Pharmaceuticals"
2024,3,-1,3150.0,44400.0,13%,个人,马化腾,Ma Huateng,男,53,https://res.hurun.net/photo/000002_Ma_Huateng.jpg,中国-广东-汕头,China-Guangdong-Shantou,中国-海南,China-Hainan,中国-广东-深圳,China-Guangdong-Shenzhen,本科,Undergraduate,深圳大学计算机与软件学院,冶金系金相专业,Shenzhen University,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services
2024,4,-1,2450.0,34500.0,-9%,个人,黄峥,Huang Zheng,男,44,https://res.hurun.net/photo/000007_Huang_Zheng.jpg,中国-浙江-杭州,China-Zhejiang-Hangzhou,中国-浙江-杭州,China-Zhejiang-Hangzhou,中国-上海,China-Shanghai,硕士,Master s,威斯康星大学麦迪逊分校,,,拼多多,Pinduoduo,上海长宁,Shanghai,购物网站,E-Commerce
2024,5,3,2350.0,33100.0,18%,家族,何享健,He Xiangjian,男,82,https://res.hurun.net/photo/000004_He_Xiangjian.jpg,中国-广东-佛山,China-Guangdong-Foshan,中国-广东-佛山,China-Guangdong-Foshan,中国-广东-佛山,China-Guangdong-Foshan,,,未知,,,美的,Midea,广东佛山,Guangdong,家电制造,Household Appliances
2024,6,-2,2000.0,28200.0,-20%,个人,曾毓群,Zeng Yuqun,男,56,https://res.hurun.net/photo/000057_Zeng_Yuqun.jpg,,,中国-福建-宁德,China-Fujian-Ningde,中国-福建-宁德,China-Fujian-Ningde,博士,Doctorate,上交大、中科院,,,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology
2024,6,0,2000.0,28200.0,-17%,个人,丁磊,Ding Lei,男,53,https://res.hurun.net/photo/000008_Ding_Lei.jpg,中国-浙江-宁波,China-Zhejiang-Ningbo,中国-浙江-宁波,China-Zhejiang-Ningbo,中国-浙江-杭州,China-Zhejiang-Hangzhou,本科,Undergraduate,电子科技大学,,,网易,Netease,浙江杭州,Zhejiang,互联网技术,Internet Services
2024,6,1,2000.0,28200.0,-5%,父子,李嘉诚,Li Ka-shing,男,96,https://res.hurun.net/default/icon_men.jpg,中国-广东-潮州,China-Guangdong-Chaozhou,中国-香港,China-Hong Kong,中国-香港,China-Hong Kong,,,未知,,,长江实业,Cheung Kong,香港,Hong Kong,投资,Investments
2024,9,2,1750.0,24600.0,9%,家族,李兆基,Lee Shau Kee,男,96,https://res.hurun.net/default/icon_men.jpg,中国-广东-佛山,China-Guangdong-Foshan,中国-广东-佛山,China-Guangdong-Foshan,中国-香港,China-Hong Kong,,,未知,,,恒基兆业,Henderson Land,香港,Hong Kong,房地产,Estate Holding
2024,10,0,1650.0,23200.0,-3%,家族,马云,Ma Yun,男,60,https://res.hurun.net/photo/000001_Ma_Yun.jpg,中国-浙江-绍兴,China-Zhejiang-Shaoxing,中国-浙江-杭州,China-Zhejiang-Hangzhou,中国-浙江-杭州,China-Zhejiang-Hangzhou,本科,Undergraduate,杭州师范学院,英语专业,Hangzhou Normal University,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech"
2024,11,-2,1450.0,20400.0,-17%,家族,李书福,Li Shufu,男,61,https://res.hurun.net/photo/000015_Li_Shufu.jpg,中国-浙江-台州,China-Zhejiang-Taizhou,中国-浙江-台州,China-Zhejiang-Taizhou,中国-浙江-杭州,China-Zhejiang-Hangzhou,博士,Doctorate,哈工大、燕山、哈工大,,,吉利,Geely,浙江杭州,Zhejiang,汽车制造,Car Manufacturing
2024,11,1,1450.0,20400.0,-3%,个人,严昊,Yan Hao,男,38,https://res.hurun.net/photo/000010_Yan_Hao.jpg,中国-江苏-淮安,China-Jiangsu-Huai’an,中国-江苏-淮安,China -Jiangsu - Huai’an,中国-江苏-南京,China-Jiangsu-Nanjing,本科,Undergraduate,南京师范大学,,,太平洋建设,China Pacific Construction,新疆乌鲁木齐,Xinjiang,基础建设,Roads
2024,11,5,1450.0,20400.0,7%,家族,张刚,Zhang Gang,男,43,https://res.hurun.net/default/icon_men.jpg,中国-山东-聊城,China-Shandong-Liaocheng,中国-山东-聊城,China -Shandong - Liaocheng,中国-山东-聊城,China -Shandong - Liaocheng,硕士,Master s,西北工业、澳大利亚中央昆士兰大学,,,信发铝电,Xinfalyudian,山东聊城,Shandong,电解铝、氧化铝,Aluminum
2024,14,0,1400.0,19700.0,0%,家族,李蔡美灵,Lee Choi Mei Ling,男,未知,https://res.hurun.net/default/icon_men.jpg,中国-香港,China-Hong Kong,中国-香港,China-Hong Kong,中国-香港,China-Hong Kong,,,未知,,,李锦记,Lee Kun Kee,香港,Hong Kong,调味品,Food Processing
2024,14,0,1400.0,19700.0,0%,夫妇,吕向阳,Lyu Xiangyang,男,61,https://res.hurun.net/default/icon_men.jpg,中国-安徽-芜湖,China-Anhui-Wuhu,中国-安徽-芜湖,China -Anhui - Wuhu,中国-广东-广州,China-Guangdong-Guangzhou,,,未知,,,融捷,Youngy,广东广州,Guangdong,投资,Investments
