企业信息_行业_中文,富豪数量,财富总值_亿,平均财富_亿,代表人物,财富占比
房地产,51,11858.0,232.50980392156862,李兆基,5.64
投资,36,9182.0,255.05555555555554,李嘉诚,4.37
医药,40,8707.0,217.675,钟慧娟,4.14
互联网服务,6,4925.0,820.8333333333334,马化腾,2.34
半导体,23,4516.0,196.34782608695653,杜纪川,2.15
锂电池,9,4190.0,465.55555555555554,曾毓群,1.99
社交媒体,1,3500.0,3500.0,张一鸣,1.66
饮料、医疗保健,1,3400.0,3400.0,钟睒睒,1.62
金融服务,11,3250.0,295.45454545454544,蔡明兴,1.55
电子商务、金融科技,12,3082.0,256.8333333333333,马云,1.47
钢铁,13,2937.0,225.92307692307693,项光达,1.4
调味品,7,2925.0,417.85714285714283,李蔡美灵,1.39
汽车制造,2,2550.0,1275.0,李书福,1.21
家电制造,3,2535.0,845.0,何享健,1.21
购物网站,1,2450.0,2450.0,黄峥,1.17
房地产、投资,13,2292.0,176.30769230769232,黄楚龙,1.09
游戏,11,2265.0,205.9090909090909,蔡浩宇,1.08
互联网技术,1,2000.0,2000.0,丁磊,0.95
投资、房地产,15,1926.0,128.4,许荣茂,0.92
餐饮,10,1766.0,176.6,张勇,0.84
汽车、充电电池,4,1715.0,428.75,王传福,0.82
医疗器械,8,1695.0,211.875,李西廷,0.81
化工,13,1687.0,129.76923076923077,许家彰,0.8
畜牧,4,1610.0,402.5,秦英林,0.77
食品,13,1594.0,122.61538461538461,许世辉,0.76
消费电子产品,8,1555.0,194.375,林百里,0.74
物流,9,1485.0,165.0,苏海文,0.71
智能硬件与技术、投资,3,1450.0,483.3333333333333,雷军,0.69
电解铝、氧化铝,1,1450.0,1450.0,张刚,0.69
基础建设,1,1450.0,1450.0,严昊,0.69
快递,5,1403.0,280.6,王卫,0.67
饮料,6,1385.0,230.83333333333334,宗馥莉,0.66
消费电子,3,1365.0,455.0,王来胜,0.65
虚拟货币交易所,1,1350.0,1350.0,赵长鹏,0.64
博彩,4,1330.0,332.5,吕志和,0.63
生活服务,6,1325.0,220.83333333333334,王兴,0.63
体育用品,7,1250.0,178.57142857142858,丁世忠,0.59
化纤、石化、房地产,1,1250.0,1250.0,陈建华,0.59
食品和饮料,8,1225.0,153.125,蔡衍明,0.58
氧化铝、重化工、饲料,1,1200.0,1200.0,刘永行,0.57
硅材料,4,1135.0,283.75,罗立国,0.54
化纤,9,1110.0,123.33333333333333,李水荣,0.53
铝业、纺织,1,1100.0,1100.0,郑淑良,0.52
电子制造,2,1100.0,550.0,郭台铭,0.52
珠宝,2,1060.0,530.0,郑家纯,0.5
服装,8,1028.0,128.5,高德康,0.49
保险,3,985.0,328.3333333333333,陈东升,0.47
电子器件制造,5,975.0,195.0,周群飞,0.46
鞋业,4,965.0,241.25,张聪渊,0.46
医疗器械、房地产,1,950.0,950.0,徐航,0.45
煤化工,1,950.0,950.0,党彦宝,0.45
重型机械,5,930.0,186.0,梁稳根,0.44
医疗服务,6,910.0,151.66666666666666,陈邦,0.43
电子元件,9,904.0,100.44444444444444,许邦福,0.43
白酒,4,860.0,215.0,汪俊林,0.41
智能硬件与技术,4,855.0,213.75,林斌,0.41
网路安全,2,830.0,415.0,谢青,0.39
小家电,4,820.0,205.0,王旭宁,0.39
插座,2,815.0,407.5,阮立平,0.39
饮料、地产,1,800.0,800.0,严彬,0.38
能源,4,755.0,188.75,米高·嘉道理,0.36
电信,1,750.0,750.0,李泽楷,0.36
光伏设备,5,740.0,148.0,曹仁贤,0.35
生物制药,6,733.0,122.16666666666667,简军,0.35
网络信息服务,3,733.0,244.33333333333334,李彦宏,0.35
新能源汽车,3,718.0,239.33333333333334,李想,0.34
网络游戏、电商,4,702.0,175.5,李小冬,0.33
新能源、农业,1,700.0,700.0,刘汉元,0.33
视频监控产品,2,695.0,347.5,龚虹嘉,0.33
农业、化工、金融,1,690.0,690.0,刘永好,0.33
物流、钢铁,1,670.0,670.0,张国华,0.32
钼矿,1,670.0,670.0,于泳,0.32
玻璃,4,660.0,165.0,李贤义,0.31
日化用品,4,605.0,151.25,陈凯旋,0.29
电商,2,600.0,300.0,许仰天,0.29
天然气、能源化工,1,600.0,600.0,王玉锁,0.29
医疗设备,4,595.0,148.75,吴光明,0.28
化妆品,6,585.0,97.5,侯军呈,0.28
消费电子精密件,2,580.0,290.0,曾芳勤,0.28
工业产品,3,575.0,191.66666666666666,杨建文,0.27
无人机,3,570.0,190.0,汪滔,0.27
玩具,2,565.0,282.5,蔡志明,0.27
生物医药,8,563.0,70.375,杨霞,0.27
疫苗,2,560.0,280.0,蒋仁生,0.27
工业品、房地产,2,555.0,277.5,张虔生,0.26
软件与信息服务,6,555.0,92.5,王文京,0.26
房地产、紫檀博物馆,1,550.0,550.0,陈丽华,0.26
汽车零部件,8,550.0,68.75,秦荣华,0.26
房地产、金融,3,530.0,176.66666666666666,林张素娥,0.25
网络游戏,4,520.0,130.0,徐波,0.25
