前区号码\后区号码,1,2,3,4,5,6,7,8,9,10,11,12
1,2,1,2,3,4,1,1,1,2,4,1,2
2,2,5,1,1,2,1,4,2,2,4,3,3
3,6,5,5,0,1,3,3,1,3,3,3,1
4,1,3,3,3,4,3,2,2,2,3,1,1
5,2,1,2,4,2,2,6,2,4,4,2,3
6,6,2,4,0,3,3,3,4,3,1,6,1
7,6,4,2,3,4,3,1,4,4,3,2,2
8,2,3,6,4,4,1,3,3,2,3,4,3
9,5,1,3,2,1,1,2,2,1,2,1,1
10,7,3,5,3,0,3,4,3,2,5,0,3
11,4,4,3,2,3,0,2,3,0,4,3,0
12,6,3,2,0,3,1,3,3,1,3,2,1
13,2,1,1,1,4,2,1,1,0,2,1,2
14,2,1,0,1,1,5,3,0,0,2,0,1
15,4,2,1,4,1,3,2,3,1,2,1,2
16,1,4,0,3,5,1,3,1,3,2,2,1
17,1,2,1,3,1,1,3,3,3,2,2,0
18,3,2,3,1,2,1,4,1,1,2,3,1
19,1,2,1,0,1,3,2,0,2,4,2,0
20,4,2,3,9,4,2,5,6,4,3,5,3
21,5,6,5,3,3,3,3,2,3,3,3,1
22,5,3,4,6,3,4,2,5,5,2,1,2
23,3,0,2,1,4,3,3,2,1,1,2,2
24,3,0,3,2,2,1,2,2,1,1,0,1
25,4,3,3,4,2,0,4,1,3,2,2,2
26,1,3,3,0,0,0,1,2,1,3,0,0
27,1,3,2,3,1,4,1,2,1,2,2,0
28,2,1,2,3,1,5,4,4,2,4,1,1
29,5,4,3,4,2,3,3,6,1,5,1,3
30,3,3,2,2,2,3,2,3,2,1,0,3
31,5,1,3,4,4,2,2,1,3,4,2,3
32,0,0,1,5,0,2,2,2,4,3,3,2
33,2,0,3,1,2,3,2,1,3,4,1,2
34,2,0,4,4,2,1,6,5,4,4,0,0
35,2,2,2,1,2,1,1,2,1,3,3,2
